timeStamp, video, audio, additional, deviceType, userShare
1:00, false, false, nothing found, NULL, false
1:10, false, false, nothing found, NULL, false
1:20, true, true, doorbell rang, doorLock, false
1:30, false, false, nothing found, NULL, false
1:30, false, true, heard disturbance, doorLock, true
1:40, true, true, individual at door, camera, false
1:50, false, false, nothing found, NULL, false
2:00, false, false, nothing found, NULL, false
2:10, false, false, nothing found, NULL, false
2:20, true, true, individual at door, camera, true
2:30, false, false, nothing found, NULL, false
2:40, false, false, nothing found, NULL, false
2:50, false, false, nothing found, NULL, false
3:00, false, true, heard distrubance, doorlock, true
 
